museum,lng,lat
关向应纪念馆,116.87646108582223,40.24016881573247
旅顺博物馆,121.24160854876864,38.81416625906209
旅顺日俄监狱旧址博物馆,121.27224930056123,38.83072745355897
大连自然博物馆,121.56796401851024,38.87674732062634
大连现代博物馆,121.62163148459285,38.9189536667856
旅顺万忠墓纪念馆,116.56345084273687,39.7581433477884
张氏帅府博物馆,123.46409507201678,41.80025192841552
周恩来少年读书旧址纪念馆,123.8588577639709,42.30657096616438
沈阳工业博物馆,123.36205834574939,41.828408935700324
沈阳故宫博物院,123.46220997790408,41.803281859053925
额济纳博物馆,121.45250031978522,31.253000353044467
沈阳金融博物馆,123.4655859896717,41.800173886099756
辽宁省博物馆,123.46695087506355,41.68424759304303
阿拉善右旗博物馆,101.67346389593693,39.2222409698549
正镶白旗博物馆,115.03662171828462,42.29260542924877
阿拉善博物馆,113.64751253021151,41.20706607114415
阿拉善王府博物馆,113.64751253021151,41.20706607114415
锡林郭勒盟博物馆,116.05439144074573,43.93942266533856
阿巴嘎旗博物馆,114.9549190355411,44.02889317486755
苏尼特左旗博物馆,113.67347993741899,43.865553657792
科尔沁右翼前旗博物馆,121.96943883950958,46.078007912852925
四子王旗博物馆,111.70512817514896,41.52910909845309
内蒙古民族解放纪念馆,122.09844655990098,46.075832123558385
集宁战役纪念馆,113.12271023432744,41.027638642453134
乌兰察布市博物馆,113.13946767446333,41.00074832767381
乌拉特中旗博物馆,108.52880136817667,41.57643095735872
乌拉特后旗博物馆,107.08857599149984,41.088077955861706
黄河水利文化博物馆,122.05150839994872,37.53448908677047
内蒙古河套文化博物院,113.23525649175433,23.192427338700643
新巴尔虎右旗巴尔虎博物馆,116.82738529859634,48.6772771084416
满洲里市博物馆,117.38543585768029,49.604098854866066
呼伦贝尔民族博物院,119.77238927405153,49.21897008298564
鄂伦春自治旗博物馆,123.73234507741994,50.59794792806367
新巴尔虎左旗博物馆,118.27660837276184,48.22378676003717
海拉尔要塞遗址博物馆,119.74246537005571,49.21821579936311
哈克遗址博物馆,116.17329645804892,40.07431111797177
鄂尔多斯青铜器博物馆,109.9324189987109,39.82419208404523
鄂尔多斯革命历史博物馆,110.01094913588483,39.82595591093068
库伦旗宗教博物馆,121.78359246465038,42.73841193461433
奈曼旗王府博物馆,120.65710702462466,42.85311391900274
鄂尔多斯博物馆,109.79144701672456,39.60738473939197
喀喇沁旗王府博物馆,118.51435194250895,41.84573046673982
通辽市博物馆,122.25052178737633,43.657980083916655
克什克腾旗博物馆,117.54954703156056,43.27038604583662
翁牛特旗博物馆,119.01250888001714,42.94201926223575
巴林左旗辽上京博物馆,119.38797300520879,43.96667115332746
巴林右旗民俗博物馆,118.68755548551552,43.53388762766424
林西县博物馆,118.06246142181722,43.6242102592906
阿鲁科尔沁旗博物馆,120.07261385472195,43.877953412182414
巴林右旗博物馆,118.66894546992641,43.53835117923075
包头市达茂旗博物馆,111.22361576077405,41.286222148910284
赤峰市博物馆,120.0073969645281,41.932463739419795
乌兰夫纪念馆,111.13606699560215,40.724912162323484
内蒙古包头博物馆,109.84707251932727,40.64777301857008
内蒙古自治区将军衙署博物院,120.13898089066942,23.211837619816166
呼和浩特博物馆,111.6828749917336,40.828316007107475
红军东征纪念馆,114.52043453156347,30.52565386568586
汾阳市博物馆,111.79093449712316,37.27018070872836
内蒙古博物院,113.23525649175433,23.192427338700643
吕梁市晋绥边区革命纪念馆,111.0455780764961,38.48159893455032
洪洞县博物馆,111.68158942671826,36.25946707937692
安泽县博物馆,112.25661283959589,36.1535143805225
隰县博物馆,110.9475912707899,36.69906138322701
汾西县博物馆,111.56954629571415,36.65878226423185
文水县博物馆,112.03559869260123,37.44430008265076
翼城县博物馆,111.72537553219112,35.744429075038624
襄汾县博物馆,111.44854005199257,35.88206267067628
临汾市丁村民俗博物馆,111.42699024179149,35.84600287149554
河津市博物馆,110.71857214373472,35.60192657532228
忻州市博物馆,112.74062416023847,38.42238338517772
五台县博物馆,113.26145109491867,38.73418159056545
代县博物馆,112.96655194854216,39.07272834638067
繁峙县博物馆,113.27140827251347,39.19523743073412
宁武县文物馆,112.32639824212184,39.02434238143123
静乐县博物馆,111.94543190585105,38.36514708843798
岢岚县博物馆,111.57947778177136,38.710151038936225
偏关县博物馆,111.51447352049172,39.44223009038652
原平市博物馆,112.71748713403183,38.73647589760487
曲沃县博物馆,111.48239637818867,35.64732733598219
永济市博物馆,110.45724878274356,34.871917350237965
永济市蒲津渡遗址博物馆,110.29773703265897,34.85109796063714
芮城县博物馆,110.70020296385283,34.70156598386109
垣曲县自然博物馆,111.67660670571551,35.30301451741769
夏县博物馆,111.22643149939508,35.14746177980724
平陆县博物馆,111.22348047596425,34.84292515458109
